user_id,movie_id,rating
1,137,5
1,11,5
1,12,4
1,267,3
1,411,4
1,33,4
1,428,5
1,307,4
1,310,5
1,447,4
1,329,5
1,202,4
1,331,5
1,462,4
1,342,5
1,87,5
1,215,4
1,119,2
1,97,3
1,486,3
1,487,5
1,372,4
1,247,4
1,382,5
2,256,5
2,257,4
2,129,5
2,3,3
2,262,4
2,390,4
2,136,5
2,394,3
2,396,5
2,141,5
2,13,3
2,274,4
2,277,3
2,278,4
2,153,5
2,155,4
2,33,5
2,291,4
2,164,4
2,37,5
2,43,4
2,171,4
2,301,5
2,309,4
2,310,5
2,439,5
2,63,4
2,450,5
2,75,4
2,208,4
2,80,3
2,84,4
2,86,4
2,472,4
2,476,4
2,93,4
2,477,3
2,481,3
2,230,4
2,486,3
2,489,3
2,106,4
2,235,2
2,111,5
2,497,3
2,500,4
2,119,4
3,259,4
3,393,4
3,394,4
3,12,4
3,270,4
3,143,4
3,145,4
3,401,5
3,32,4
3,299,3
3,302,5
3,59,4
3,445,5
3,452,5
3,329,4
3,331,4
3,76,5
3,222,3
3,480,3
3,100,3
3,101,5
3,238,5
3,114,3
3,499,5
4,257,4
4,262,4
4,391,3
4,392,5
4,269,4
4,413,5
4,291,3
4,300,5
4,189,5
4,68,5
4,455,5
4,459,5
4,460,3
4,213,4
4,218,5
4,359,4
4,497,3
4,373,4
4,374,3
4,119,4
5,128,4
5,2,5
5,387,5
5,382,5
5,133,3
5,6,4
5,392,4
5,11,5
5,142,3
5,145,5
5,152,4
5,412,5
5,290,4
5,35,3
5,419,4
5,168,5
5,298,4
5,177,5
5,307,3
5,186,3
5,445,4
5,62,4
5,322,2
5,195,5
5,197,4
5,457,5
5,332,5
5,335,4
5,339,5
5,340,5
5,469,4
5,214,3
5,216,2
5,473,5
5,120,4
5,220,3
5,224,2
5,352,3
5,356,3
5,110,5
5,497,4
5,370,5
5,499,5
5,372,5
5,244,3
5,247,2
5,376,5
5,253,3
5,254,3
6,7,3
6,266,4
6,399,4
6,401,5
6,146,4
6,274,4
6,404,5
6,149,5
6,145,3
6,151,4
6,422,4
6,297,4
6,170,3
6,298,5
6,172,4
6,299,3
6,175,3
6,53,5
6,181,4
6,191,3
6,71,4
6,330,5
6,74,3
6,463,4
6,209,5
6,466,4
6,211,5
6,85,3
6,472,3
6,347,4
6,479,4
6,356,5
6,362,4
6,242,4
6,249,3
6,383,5
7,391,4
7,136,5
7,266,4
7,17,4
7,273,3
7,408,5
7,158,4
7,31,3
7,290,3
7,300,5
7,433,3
7,307,4
7,439,4
7,65,5
7,66,2
7,73,5
7,91,4
7,353,3
7,482,4
7,356,4
7,102,5
7,108,3
7,114,4
7,117,3
8,6,4
8,143,4
8,152,5
8,412,5
8,168,5
8,169,5
8,297,4
8,47,2
8,434,4
8,179,4
8,63,5
8,75,5
8,483,5
8,486,4
8,236,4
8,110,5
8,496,4
8,379,5
8,381,4
8,383,4
9,390,4
9,391,4
9,267,3
9,141,4
9,407,5
9,153,4
9,161,3
9,428,5
9,301,4
9,431,4
9,179,5
9,308,5
9,312,5
9,57,5
9,58,4
9,185,3
9,64,4
9,70,4
9,201,3
9,77,4
9,476,4
9,351,3
9,361,3
9,239,3
9,377,4
9,254,3
10,3,5
10,263,4
10,270,4
10,402,4
10,289,5
10,34,5
10,35,5
10,40,4
10,424,5
10,425,4
10,301,5
10,174,2
10,305,3
10,433,3
10,440,4
10,58,3
10,187,3
10,63,5
10,453,4
10,72,2
10,457,4
10,207,4
10,82,4
10,211,5
10,87,4
10,346,4
10,474,3
10,484,4
10,102,5
10,103,2
10,365,4
10,494,5
10,244,4
10,500,3
10,380,3
11,6,3
11,390,4
11,394,5
11,17,4
11,145,5
11,22,4
11,156,4
11,168,5
11,40,3
11,426,4
11,50,2
11,310,4
11,184,4
